short_name,long_name,nationality,club
Diogildo Peixe,Diogo Nathan Peixe Barreto,Brazil,Avaí FC
Sevinho Santos,Severino Pedro Santos Hermes,Brazil,Cruzeiro
L. Castro,Leonardo Fabio Castro Loaiza,Colombia,Independiente Medellín
N. Romat,Nicolás Romat,Argentina,Club Atlético Huracán
K. Shibasaki,柴崎 晃誠,Japan,Sanfrecce Hiroshima
R. Nagaki,永木 亮太,Japan,Kashima Antlers
Jony Reitosa,Jony Allison Reitosa Ribeiro,Brazil,Ceará Sporting Club
Jairo Farnias,Jairo Ralph Farnias Almeida,Brazil,Internacional
Allan Ardaújo,Allan Norberto Ardaújo Alves,Brazil,CSA - AL
Assis,Rafael Henrique Assis Cardoso,Brazil,Al Fayha
A. Benedetti,Amedeo Benedetti,Italy,Cittadella
J. Grimm,Jérémy Grimm,France,RC Strasbourg Alsace
M. Castagnetti,Michele Castagnetti,Italy,US Cremonese
E. Seka,Ernest Seka,Guinea,AS Nancy Lorraine
Vinicius Trieiro,Vinicius Lúcio Trieiro Lobato,Brazil,Botafogo
Jailson Oliva,Jailson Pietro Oliva Chiamulera,Brazil,Atlético Mineiro
Luan Sendeiro,Luan Vágner Sendeiro Zanon,Brazil,Internacional
Nilson Padilho,Nilson Leôncio Padilho Borges,Brazil,Chapecoense
C. Ramirez,Christian Ramirez,United States,Houston Dynamo
D. Orgill,Dever Orgill,Jamaica,MKE Ankaragücü
D. Keita-Ruel,Daniel Keita-Ruel,France,SpVgg Greuther Fürth
E. Tercero,Eduardo Tercero,Mexico,Tigres U.A.N.L.
V. Lampropoulos,Vassilios Lampropoulos,Greece,Deportivo de La Coruña
M. Fouzair,Mohamed Fouzair,Morocco,Al Raed
F. Bradarić,Filip Bradarić,Croatia,Cagliari
D. Valdés,Diego Valdes Giraldo,Colombia,Deportes Tolima
I. Plastun,Igor Plastun,Ukraine,KAA Gent
G. Zarfino,Giovanni Zarfino,Uruguay,Extremadura UD
M. Asselah,Malik Asselah,Algeria,Al Hazem
Corpas,José Corpas Serna,Spain,UD Almería
C. Golofca,Cătălin Golofca,Romania,FC Botoşani
J. Soraire,Jesús Soraire,Argentina,Arsenal de Sarandí
E. Sancero,Enrique Sancero,Ecuador,Ecuador
A. Urzi,Agustín Urzi,Argentina,Club Atlético Banfield
P. Pomykal,Paxton Pomykal,United States,FC Dallas
N. Cozza,Nicolas Cozza,France,Montpellier HSC
A. Almendra,Agustín Almendra,Argentina,Boca Juniors
M. Barrow,Musa Barrow,Gambia,Atalanta
M. Caqueret,Maxence Caqueret,France,Olympique Lyonnais
K. Jóźwiak,Kamil Jóźwiak,Poland,Lech Poznań
D. Turnbull,David Turnbull,Scotland,Motherwell
Domingos Quina,Domingos Quina,Portugal,Watford
T. Weah,Timothy Weah,United States,LOSC Lille
L. Ferguson,Lewis Ferguson,Scotland,Aberdeen
J. Bogle,Jayden Bogle,England,Derby County
Sancet,Oihan Sancet Tirapu,Spain,Athletic Club de Bilbao
M. Romero,Maximiliano Romero,Argentina,Vélez Sarsfield
J. Justin,James Justin,England,Leicester City
D. Arzani,Daniel Arzani,Australia,Celtic
B. Toma,Bastien Toma,Switzerland,FC Sion
L. Pellegrini,Luca Pellegrini,Italy,Juventus
Javi Hernández,Javier Hernández Carrera,Spain,Real Madrid
I. Aliseda,Ignacio Aliseda,Argentina,Defensa y Justicia
S. Plaza,Stiven Plaza,Ecuador,Real Valladolid CF
R. Márquez,Ricardo Márquez,Colombia,Unión Magdalena
J. Carrascal,Jorge Carrascal,Colombia,River Plate
J. Dasilva,Jay Dasilva,England,Bristol City
Y. Valery,Yan Valery,France,Southampton
I. Niane,Ibrahima Niane,Senegal,FC Metz
J. Macías,José Juan Macías,Mexico,Club León
S. Kiyine,Sofian Kiyine,Morocco,US Salernitana 1919
R. Baku,Ridle Bote Baku,Germany,1. FSV Mainz 05
Dani Gómez,Daniel Gómez Alcón,Spain,CD Tenerife
D. Joveljić,Dejan Joveljić,Serbia,Eintracht Frankfurt
D. Bradarić,Domagoj Bradarić,Croatia,LOSC Lille
N. Körber,Nils Körber,Germany,VfL Osnabrück
C. Carter-Vickers,Cameron Carter-Vickers,United States,Stoke City
A. Rinomhota,Andy Rinomhota,England,Reading
C. Connolly,Callum Connolly,England,Everton
S. Hefti,Silvan Hefti,Switzerland,FC St. Gallen
C. Martins,Christopher Martins Pereira,Luxembourg,BSC Young Boys
S. Singh,Sarpreet Singh,New Zealand,Bayern München II
M. Smith,Matthew Smith,Wales,Queens Park Rangers
K. Pierie,Kik Pierie,Netherlands,Ajax
Z. Youssouf,Zaydou Youssouf,France,AS Saint-Étienne
V. Dragomir,Vlad Mihai Dragomir,Romania,Perugia
Nacho Méndez,Ignacio Méndez Navia Fernández,Spain,Real Sporting de Gijón
M. Melluso,Matías Germán Melluso,Argentina,Gimnasia y Esgrima La Plata
G. Lódico,Gastón Lódico,Argentina,Club Atlético Lanús
Iñigo Vicente,Iñigo Vicente Elorduy,Spain,CD Mirandés
Javi Sánchez,Javier Sánchez de Felipe,Spain,Real Valladolid CF
J. Onomah,Josh Onomah,England,Fulham
H. Moukoudi,Harold Moukoudi,France,AS Saint-Étienne
J. Fuchs,Jeando Fuchs,Cameroon,Deportivo Alavés
Pedro Pereira,Pedro Miguel Lopes Pereira,Portugal,Bristol City
J. Hoogma,Justin Hoogma,Netherlands,FC Utrecht
R. Le Normand,Robin Le Normand,France,Real Sociedad
L. Sinisterra,Luis Sinisterra,Colombia,Feyenoord
F. Cassata,Francesco Cassata,Italy,Genoa
M. Aebischer,Michel Aebischer,Switzerland,BSC Young Boys
S. Gnaka,Silas Gnaka,Ivory Coast,KAS Eupen
F. Coman,Florinel Coman,Romania,FCSB (Steaua)
H. Koffi,Hervé Koffi,Burkina Faso,Os Belenenses
I. Diallo,Ibrahima Diallo,France,Stade Brestois 29
F. Muslija,Florent Muslija,Germany,Hannover 96
B. Sosa,Borna Sosa,Croatia,VfB Stuttgart
N. Rasskazov,Nikolay Rasskazov,Russia,Spartak Moscow
Y. Fofana,Youssouf Fofana,France,RC Strasbourg Alsace
M. Lowe,Max Lowe,England,Derby County
L. Montipò,Lorenzo Montipò,Italy,Benevento
A. Armstrong,Adam Armstrong,England,Blackburn Rovers
Y. Leiva,Yerko Leiva,Chile,Unión La Calera
J. Kerr,Jason Kerr,Scotland,St. Johnstone FC
N. Rapp,Nicolai Rapp,Germany,1. FC Union Berlin
A. Robinson,Antonee Robinson,United States,Wigan Athletic
J. Serra,Janni-Luca Serra,Germany,Holstein Kiel
C. Timite,Cheick Timite,Ivory Coast,Amiens SC
A. Campbell,Allan Campbell,Scotland,Motherwell
Lincoln,Lincoln Oliveira dos Santos,Brazil,Santa Clara
Y. Eteki,Yan Brice Eteki,Cameroon,Granada CF
E. Ndoj,Emanuele Ndoj,Albania,Brescia
M. Edwards,Marcus Edwards,England,Tottenham Hotspur
Alex Pozo,Alejandro Pozo Pozo,Spain,Sevilla FC
E. Segura,Eddie Livington Segura Martínez,Colombia,Los Angeles FC
C. Ejuke,Chidera Ejuke,Nigeria,SC Heerenveen
A. Bassi,Amine Bassi,Morocco,AS Nancy Lorraine
Ander Guevara,Ander Guevara Lajo,Spain,Real Sociedad
N. Linares,Nicolás Linares,Argentina,Club Atlético Banfield
T. Chancalay,Tomás Alejandro Chancalay,Argentina,Club Atlético Colón
Dani Martín,Daniel Martín Fernández,Spain,Real Betis
A. Cruz,Aldo Cruz,Mexico,Club Tijuana
S. Callegari,Stefano Callegari,Argentina,Newell's Old Boys
G. Fuentes,Gabriel Fuentes,Colombia,Junior FC
H. Boussefiane,Hicham Boussefiane,Morocco,Málaga CF
I. Camará,Ibrahima Camará,Guinea,Moreirense FC
S. Arzamendia,Santiago Arzamendia,Paraguay,Paraguay
C. Walton,Christian Walton,England,Blackburn Rovers
D. Oberlin,Dimitri Oberlin,Switzerland,SV Zulte-Waregem
N. Giménez,Nicolás Giménez,Argentina,Arsenal de Sarandí
D. Burnić,Dženis Burnić,Germany,SG Dynamo Dresden
Christian Rivera,Christian Rivera Hernández,Spain,UD Las Palmas
B. Peacock-Farrell,Bailey Peacock-Farrell,Northern Ireland,Burnley
D. Mancini,Daniel  Mancini,Argentina,FC Girondins de Bordeaux
J. Piotrowski,Jakub Piotrowski,Poland,KRC Genk
J. Aribo,Joe Aribo,England,Rangers FC
A. Vega,Alexis Vega,Mexico,Guadalajara
E. Ocansey,Eric Ocansey,Ghana,KV Kortrijk
D. Vanzeir,Dante Vanzeir,Belgium,KV Mechelen
L. Amani,Jean Thierry Lazare Amani,Ivory Coast,KAS Eupen
M. García,Mateo Ezequiel García,Argentina,UD Las Palmas
I. Cardona,Irvin Cardona,France,Stade Brestois 29
I. Mathew,Ifeanyi Mathew,Nigeria,Lillestrøm SK
H. Mendyl,Hamza Mendyl,Morocco,FC Schalke 04
A. Gravillon,Andrew Gravillon,France,Sassuolo
Rui Costa,Rui Pedro  Silva Costa,Portugal,AD Alcorcón
Pêpê,Pedro Filipe Figueiredo Rodrigues,Portugal,Vitória Guimarães
E. Apeh,Emmanuel Apeh,Nigeria,RC Celta
J. Deminguet,Jessy Deminguet,France,Stade Malherbe Caen
Mauro Júnior,Mauro Jaqueson J. Ferreira Santos,Brazil,Heracles Almelo
J. Wind,Jonas Wind,Denmark,FC København
F. Varela,Federico Varela,Argentina,CD Leganés
E. Bansen,Eike Bansen,Germany,SV Zulte-Waregem
Aguado,Álvaro Aguado Méndez,Spain,Real Valladolid CF
B. Eleke,Blessing Eleke,Nigeria,FC Luzern
I. Baba,Iddrisu Baba Mohammed,Ghana,RCD Mallorca
Sori Mané,Manconi Soriano Mané,Guinea Bissau,Moreirense FC
A. Rogel,Agustín Rogel,Uruguay,Toulouse Football Club
M. Romeo,Mahlon Beresford Baker Romeo,Antigua & Barbuda,Millwall
S. Rossbach,Sondre Løvseth Rossbach,Norway,Odds BK
Quintillá,Xavier Quintillá Guasch,Spain,Villarreal CF
L. Palmiero,Luca Palmiero,Italy,Pescara
J. Glad,Justen Glad,United States,Real Salt Lake
J. Sambia,Junior Sambia,France,Montpellier HSC
E. Brophy,Eamonn Brophy,Scotland,Kilmarnock
C. Arrieta,Cristian Camilo Arrieta Medina,Colombia,Envigado FC
G. Suazo,Gabriel Alonso Suazo Urbina,Chile,Colo-Colo
J. Carreño,Jaime Carreño,Chile,Universidad Católica
Nacho Gil,Ignacio Gil,Spain,SD Ponferradina
P. Lienhart,Philipp Lienhart,Austria,SC Freiburg
T. Pochettino,Tomás Pochettino,Argentina,Club Atlético Talleres
J. Horn,Jannes-Kilian Horn,Germany,Hannover 96
S. Moore,Shaquell Moore,United States,CD Tenerife
Messias,Messias Rodrigues Silva Jr.,Brazil,Rio Ave FC
L. Maciel,Leandro Maciel,Argentina,Club Atlético Aldosivi
N. Hauptmann,Niklas Hauptmann,Germany,1. FC Köln
Soriano,Juan Soriano Oropesa,Spain,CD Leganés
A. Iniestra,Andrés Iniestra Vázquez Mellado,Mexico,U.N.A.M.
D. Zeefuik,Deyovaisio Zeefuik,Netherlands,FC Groningen
C. Michelin,Clément Michelin,France,Racing Club de Lens
Adrián Diéguez,Adrián Diéguez Grande,Spain,AD Alcorcón
L. Lamprou,Lazaros Lamprou,Greece,PAOK
O. Cabezas,Óscar Cabezas,Colombia,Patriotas Boyacá FC
K. Bare,Keidi Bare,Albania,Málaga CF
D. Vente,Dylan Vente,Netherlands,Feyenoord
R. Kouamé,Rominigue Kouamé N'Guessan,Mali,KSV Cercle Brugge
J. Repas,Jan Repas,Slovenia,Stade Malherbe Caen
H. De la Fuente,Hernán De la Fuente,Argentina,Vélez Sarsfield
G. Kharaishvili,Giorgi Kharaishvili,Georgia,IFK Göteborg
D. Frare,Domenico Frare,Italy,Cittadella
H. Vaca,Henry Vaca,Bolivia,Bolivia
A. Bareiro,Adam Bareiro,Paraguay,San Lorenzo de Almagro
N. Mujakić,Nihad Mujakić,Bosnia Herzegovina,KV Kortrijk
Pedro Amaral,Pedro Miguel Gaspar Amaral,Portugal,Rio Ave FC
Willyan,Willyan da Silva Rocha,Brazil,Portimonense SC
J. Vanlerberghe,Jordi Vanlerberghe,Belgium,KV Mechelen
L. Cháves,Lucas Cháves,Argentina,Argentinos Juniors
M. Gersbeck,Marius Gersbeck,Germany,Karlsruher SC
J. Gonzalez,Jesse Gonzalez,United States,FC Dallas
Denilson,Denilson Pereira Junior,Brazil,CD Tondela
L. Lindsay,Liam Lindsay,Scotland,Stoke City
H. Sakhi,Hamza Sakhi,Morocco,AJ Auxerre
S. Marreh,Sulayman Marreh,Gambia,KAS Eupen
Mula,Alejandro Mula Sánchez,Spain,Málaga CF
N. Eliasson,Niclas Eliasson,Sweden,Bristol City
R. Niyaz,Recep Niyaz,Turkey,Denizlispor
J. Larsson,Jordan Larsson,Sweden,Spartak Moscow
B. Whiteman,Ben Whiteman,England,Doncaster Rovers
Kike Barja,Enrique Barja Afonso,Spain,CA Osasuna
Javi Muñoz,Javier Muñoz Jiménez,Spain,Deportivo Alavés
M. Cassierra,Zander Mateo Cassierra Cabezas,Colombia,Racing Club
R. Zekhnini,Rafik Zekhnini,Norway,FC Twente
P. Joosten,Patrick Joosten,Netherlands,FC Utrecht
D. Wouters,Dries Wouters,Belgium,KRC Genk
B. Van Durmen,Benjamin Van Durmen,Belgium,Royal Excel Mouscron
Undabarrena,Iker Undabarrena Martínez,Spain,CD Tenerife
J. Mees,Joshua Mees,Germany,1. FC Union Berlin
G. Aburjania,Giorgi Aburjania,Georgia,FC Twente
B. Atik,Barış Atik,Turkey,SG Dynamo Dresden
C. Kipré,Cédric Kipré,Ivory Coast,Wigan Athletic
S. Ganvoula,Silvère Ganvoula M'boussy,Congo,VfL Bochum 1848
I. Sackey,Isaac Sackey,Ghana,Alanyaspor
O. De Wolf,Ortwin De Wolf,Belgium,KAS Eupen
Marc Gual,Marc Gual Huguet,Spain,Girona FC
V. Janjičić,Vasilije Janjičić,Switzerland,Hamburger SV
C. Oliveira Souza,Cauly Oliveira Souza,Brazil,SC Paderborn 07
L. Wing,Lewis Wing,England,Middlesbrough
J. Pius,Junior Pius,Nigeria,Royal Antwerp FC
E. López,Edwar López,Colombia,Estudiantes de La Plata
A. Bayındır,Altay Bayındır,Turkey,Fenerbahçe SK
I. Cristea,Iulian Cristea,Romania,FCSB (Steaua)
Guga Rodrigues,Gonçalo Rosa Pereira Rodrigues,Portugal,Famalicão
D. Bachmann,Daniel Bachmann,Austria,Watford
F. Ondoa,Fabrice Ondoa,Cameroon,KV Oostende
P. Dawidowicz,Paweł Dawidowicz,Poland,Hellas Verona
A. Fletcher,Ashley Fletcher,England,Middlesbrough
H. Ongenda,Hervin Ongenda,DR Congo,FC Botoşani
D. Holmes,Duane Holmes,United States,Derby County
F. Bahlouli,Farès Bahlouli,France,LOSC Lille
Varela,Francisco Miguel Varela Martín,Spain,Os Belenenses
G. Engvall,Gustav Engvall,Sweden,KV Mechelen
C. Strandberg,Carlos Strandberg,Sweden,Örebro SK
J. Gyamerah,Jan Gyamerah,Germany,Hamburger SV
S. Allagbé,Owalabi Saturnin Allagbé Kassifa,Benin,Chamois Niortais Football Club
J. Byrne,Jack Byrne,Republic of Ireland,Shamrock Rovers
J. Narváez,Juan José Narváez,Colombia,Real Betis
A. Pérez,Alexis Rafael Pérez Fontanilla,Colombia,Querétaro
J. Minala,Joseph Minala,Cameroon,Lazio
H. Fertoli,Héctor Fertoli,Argentina,San Lorenzo de Almagro
L. Morosini,Leonardo Morosini,Italy,Brescia
Wei Shihao,韦世豪,China PR,Guangzhou Evergrande Taobao FC
T. Wellenreuther,Timon Wellenreuther,Germany,Willem II
M. Clark,Max Clark,England,Vitesse
R. Neudecker,Richard Neudecker,Germany,VVV-Venlo
M. Curado,Marcos Curado,Argentina,Crotone
J. Gorenc Stanković,Jon Gorenc Stanković,Slovenia,Huddersfield Town
J. Dehm,Jannik Dehm,Germany,Holstein Kiel
J. Hromada,Jakub Hromada,Slovakia,SK Slavia Praha
L. Godoy,Leonardo Godoy,Argentina,Club Atlético Talleres
D. Ivan,Dávid Ivan,Slovakia,Chievo Verona
L. Caicedo,Luis Caicedo,Colombia,New England Revolution
Lee Seung Woo,이승우 李昇佑,Korea Republic,Hellas Verona
S. Nakatani,中谷 进之介,Japan,Nagoya Grampus
T. Kida,喜田 拓也,Japan,Yokohama F. Marinos
K. Misao,三竿 健斗,Japan,Kashima Antlers
M. Hartel,Marcel Hartel,Germany,DSC Arminia Bielefeld
M. Turner,Matt Turner,United States,New England Revolution
Y. Meité,Yakou Meité,Ivory Coast,Reading
Thiago Martins,Thiago Martins Bueno,Brazil,Yokohama F. Marinos
Caro,José Antonio Caro Díaz,Spain,SD Ponferradina
D. Bates,David Bates,Scotland,Sheffield Wednesday
V. Cojocaru,Valentin Cojocaru,Romania,FC Viitorul
Cris Salvador,Cristian Salvador González,Spain,Real Sporting de Gijón
S. Tetteh,Samuel Tetteh Kotoko,Ghana,LASK Linz
K. Broll,Kevin Broll,Germany,SG Dynamo Dresden
Dani Ojeda,Daniel Ojeda Saranova,Spain,Albacete BP
H. Morita,守田 英正,Japan,Kawasaki Frontale
Klauss,João Klauss de Mello,Brazil,LASK Linz
Óscar Valentín,Óscar Valentín Martín Luengo,Spain,Rayo Vallecano
S. Rojas,Santiago Rojas,Paraguay,Paraguay
D. Valdez,Diego Valdez,Paraguay,Atlético de San Luis
N. Dunga,Nabil Dunga,Egypt,Egypt
C. Guzmán,Carlos Alberto Guzmán Fonseca,Mexico,Club Necaxa
J. Obita,Jordan Obita,England,Reading
J. Brinkies,Johannes Brinkies,Germany,FSV Zwickau
S. Walsh,Sandy Walsh,Netherlands,SV Zulte-Waregem
H. Hermannsson,Hjörtur Hermannsson,Iceland,Brøndby IF
B. Başaçıkoğlu,Bilal Başaçıkoğlu,Turkey,Kayserispor
D. John,Declan John,Wales,Swansea City
J. Radošević,Josip Radošević,Croatia,Brøndby IF
E. López,Eduardo López,Mexico,Guadalajara
K. Wriedt,Kwasi Okyere Wriedt,Ghana,Bayern München II
D. Rosero Valencia,Daniel Rosero Valencia,Colombia,Deportivo Cali
G. Monachello,Gaetano Monachello,Italy,Pordenone
C. Lombardi,Cristiano Lombardi,Italy,US Salernitana 1919
L. Spalvis,Lukas Spalvis,Lithuania,1. FC Kaiserslautern
J. Kaprof,Juan Cruz Kaprof,Argentina,Arsenal de Sarandí
P. Bijen,Peet Bijen,Netherlands,FC Twente
A. Barberis,Andrea Barberis,Italy,Crotone
A. Ferrari,Alex Ferrari,Italy,Sampdoria
L. Venuti,Lorenzo Venuti,Italy,Fiorentina
A. El Messaoudi,Ahmed El Messaoudi,Morocco,FC Groningen
Nano,Alexander Mesa Travieso,Spain,Cádiz CF
P. Seguin,Paul Seguin,Germany,SpVgg Greuther Fürth
T. Pachonik,Tobias Pachonik,Germany,VVV-Venlo
F. Bredlow,Fabian Bredlow,Germany,VfB Stuttgart
C. MacGillivray,Craig MacGillivray,Scotland,Portsmouth
S. Becker,Sheraldo Becker,Netherlands,1. FC Union Berlin
C. Rodríguez,Omar Andrés Rodríguez Martínez,Colombia,Deportivo Cali
J. Tverskov,Jeppe Tverskov,Denmark,Odense Boldklub
David García,David García Zubiria,Spain,CA Osasuna
B. Ampuero,Branco Ampuero,Chile,CD Antofagasta
O. Burke,Oliver Burke,Scotland,West Bromwich Albion
Sergio Santos,Sergio Henrique Santos Gomes,Brazil,Philadelphia Union
B. Nieuwkoop,Bart Nieuwkoop,Netherlands,Feyenoord
L. Jallow,Lamin Jallow,Gambia,US Salernitana 1919
C. Verdonk,Calvin Verdonk,Netherlands,FC Twente
M. Vojvoda,Mërgim Vojvoda,Kosovo,Standard de Liège
J. Amoah,Joseph Amoah,Ghana,Vitória Guimarães
Johannesson,Diego Johannesson Pando,Iceland,Real Oviedo
M. Osman,Mohammed Osman,Syria,Heracles Almelo
J. Huth,Jannik Huth,Germany,SC Paderborn 07
H. Toledo,Hernán Toledo,Argentina,Club Atlético Banfield
N. Ueda,植田 直通,Japan,KSV Cercle Brugge
J. Müller,Jannik Müller,Germany,SG Dynamo Dresden
Martínez,José Antonio Martínez Gil,Spain,Granada CF
Benito,Benito Ramírez del Toro,Spain,UD Las Palmas
N. Lima,Nick Lima,United States,San Jose Earthquakes
P. Förster,Philipp Förster,Germany,SV Sandhausen
J. Verlaat,Jesper Verlaat,Netherlands,SV Sandhausen
I. Ljubić,Ivan Ljubić,Austria,SK Sturm Graz
G. Soto,Guillermo Soto,Chile,CD Palestino
A. Gholizadeh,Ali Gholizadeh,Iran,Sporting de Charleroi
A. Vukotić,Aleksandar Vukotić,Serbia,Waasland-Beveren
C. Albanis,Christos Albanis,Greece,AEK Athens
J. Rodríguez,Juan Gabriel Rodríguez,Argentina,Defensa y Justicia
J. Van den Bergh,Jan Van den Bergh,Belgium,KAA Gent
I. Vînă,Ionuț Vînă,Romania,FCSB (Steaua)
J. Williams,Jonathan Williams,Wales,Charlton Athletic
D. Henry,Doneil Henry,Canada,Vancouver Whitecaps FC
G. Valsvik,Gustav Valsvik,Norway,Rosenborg BK
Z. Clark,Zander Clark,Scotland,St. Johnstone FC
J. Blackman,Jamal Blackman,England,Chelsea
M. Valoti,Mattia Valoti,Italy,SPAL
C. Şahin,Cenk Şahin,Turkey,FC St. Pauli
B. Uphoff,Benjamin Uphoff,Germany,Karlsruher SC
L. Azouni,Larry Azouni,Tunisia,KV Kortrijk
A. Bell,Amari'i Bell,England,Blackburn Rovers
D. Bain,Denys Bain,France,Stade Brestois 29
L. Gülen,Levent Gülen,Switzerland,Kayserispor
P. Polomat,Pierre-Yves Polomat,France,Gençlerbirliği SK
M. Ricci,Matteo Ricci,Italy,Spezia
M. van der Hart,Mickey van der Hart,Netherlands,Lech Poznań
Buatu,Jonathan Buatu Mananga,Angola,Royal Excel Mouscron
Bruno Mendes,Bruno Pereira Mendes,Brazil,Cerezo Osaka
B. Halimi,Besar Halimi,Kosovo,Brøndby IF
M. Sarr,Mouhamadou-Naby Sarr,France,Charlton Athletic
R. Klingenburg,René Klingenburg,Germany,SG Dynamo Dresden
J. Cevallos,José Cevallos,Ecuador,Portimonense SC
L. Evans,Lee Evans,Wales,Wigan Athletic
R. González,Rubén González,Mexico,Club América
M. Crépeau,Maxime Crépeau,Canada,Vancouver Whitecaps FC
O. Bosso,Osvaldo Bosso,Chile,Audax Italiano
S. Gustafson,Samuel Gustafson,Sweden,Torino
G. Gallon,Gauthier Gallon,France,ESTAC Troyes
M. Nalepa,Michał Nalepa,Poland,Lechia Gdańsk
Alberto,Alberto Jiménez Benítez,Spain,CD Tenerife
H. Kamara,Hassane Kamara,France,Stade de Reims
Auro,Auro Alvaro da Cruz Junior,Brazil,Toronto FC
K. Hazard,Kylian Hazard,Belgium,KSV Cercle Brugge
Philipe Sampaio,Philipe Sampaio Azevedo,Brazil,CD Tondela
D. Nagy,Dominik Nagy,Hungary,Legia Warszawa
Park Yong Woo,박용우 朴镕宇,Korea Republic,Ulsan Hyundai FC
J. Laporte,Julien Laporte,France,FC Lorient
Álex López,Alejandro López de Groot,Spain,Extremadura UD
Matheus Reis,Matheus Reis de Lima,Brazil,Rio Ave FC
R. Krauße,Robin Krauße,Germany,FC Ingolstadt 04
T. Iwanami,岩波 拓也,Japan,Urawa Red Diamonds
T. Nara,奈良 竜樹,Japan,Kawasaki Frontale
A. Jovanović,Aleksandar Jovanović,Serbia,SD Huesca
Walterson,Walterson Silva,Brazil,Famalicão
M. Turay,Mohamed Buya Turay,Sierra Leone,Djurgårdens IF
K. Chinen,知念 庆,Japan,Kawasaki Frontale
A. Zreľák,Adam Zreľák,Slovakia,1. FC Nürnberg
T. Augello,Tommaso Augello,Italy,Sampdoria
R. Ibarra,Romario Ibarra,Ecuador,Pachuca
A. Radovanović,Aleksandar Radovanović,Serbia,Racing Club de Lens
M. Havel,Milan Havel,Czech Republic,Viktoria Plzeň
C. Belu-Iordache,Claudiu Belu-Iordache,Romania,FCSB (Steaua)
C. Comara,Cheick Ibrahim Comara,Ivory Coast,Côte d'Ivoire
D. Rudd,Declan Rudd,England,Preston North End
E. Hussain,Etzaz Hussain,Norway,Molde FK
C. Fierro,Carlos Eduardo Fierro Guerrero,Mexico,San Jose Earthquakes
S. Caulker,Steven Caulker,England,Alanyaspor
J. Bidwell,Jake Bidwell,England,Swansea City
A. Nsiala,Aristote Nsiala,DR Congo,Ipswich Town
G. Thorne,George Thorne,England,Derby County
E. Torres,Erick Estéfano Torres Padilla,Mexico,Club Tijuana
C. Coosemans,Colin Coosemans,Belgium,KAA Gent
J. Scowen,Josh  Scowen,England,Queens Park Rangers
A. O'Brien,Aiden O'Brien,Republic of Ireland,Millwall
R. Wolski,Rafał Wolski,Poland,Lechia Gdańsk
S. Berahino,Saido Berahino,Burundi,SV Zulte-Waregem
F. Lewis,Fernando Lewis,Netherlands,Willem II
Gus Ledes,Luís Gustavo Ledes Evangelista dos Santos,Portugal,CD Numancia
D. Rubio,Diego Iván Rubio Kostner,Chile,Colorado Rapids
B. Omrani,Abdel Slem Billel Omrani,France,CFR Cluj
Guillermo,Guillermo Fernández Hierro,Spain,CD Numancia
L. Nangis,Lenny Nangis,France,Sarpsborg 08 FF
B. Tashchy,Borys Tashchy,Ukraine,FC St. Pauli
W. Zahibo,Wilfried Zahibo,France,New England Revolution
J. Walker,Jamie Walker,Scotland,Heart of Midlothian
M. Yattara,Mohamed Lamine Yattara,Guinea,AJ Auxerre
M. Pearson,Matty Pearson,England,Luton Town
T. Lam,Thomas Lam,Finland,PEC Zwolle
M. Wallace,Murray Wallace,Scotland,Millwall
T. Eisfeld,Thomas Eisfeld,Germany,VfL Bochum 1848
Rober Correa,Roberto Antonio Correa Silva,Spain,SD Eibar
P. Ziereis,Philipp Ziereis,Germany,FC St. Pauli
B. Touré,Birama Touré,Mali,AJ Auxerre
V. Alvarado,Ventura Alvarado,United States,Club Necaxa
B. Saller,Benedikt Saller,Germany, SSV Jahn Regensburg
M. Duffy,Michael Duffy,Northern Ireland,Dundalk
K. Kodro,Kenan Kodro,Bosnia Herzegovina,Athletic Club de Bilbao
J. Lowe,Jamal Lowe,England,Wigan Athletic
M. Konczkowski,Martin Konczkowski,Poland,Piast Gliwice
N. Storm,Nikola Storm,Belgium,KV Mechelen
